Query,Rank,Title,DocID,Score,URL
fidgety child unable to sit still,1,Strategies and Solutions For Handling A Difficult Child,79,20.00076866,https://www.healthychildren.org/English/ages-stages/gradeschool/Pages/Strategies-and-Solutions-For-Handling-A-Difficult-Child.aspx
fidgety child unable to sit still,2,What to Do If a Child Won't Respond to Rules or Consequences | Psychology Today,6,20.00076866,https://www.psychologytoday.com/us/blog/all-grown/201808/what-do-if-child-wont-respond-rules-or-consequences
fidgety child unable to sit still,3,Strategies and Solutions For Handling A Difficult Child,120,19.45277596,https://healthychildren.org/English/ages-stages/gradeschool/Pages/Strategies-and-Solutions-For-Handling-A-Difficult-Child.aspx
child is forgetful in daily activities,1,Development Skills Every Toddler Should Have,170,17.82523537,https://www.parents.com/toddlers-preschoolers/development/toddler-development-skills/
child is forgetful in daily activities,2,Growing Independence: Tips for Parents of Young Children,113,17.59527397,https://healthychildren.org/English/ages-stages/preschool/Pages/Growing-Independence-Tips-for-Parents-of-Young-Children.aspx
child is forgetful in daily activities,3,7 Discipline Mistakes All Parents Make,182,17.5567646,https://www.parents.com/parenting/better-parenting/discipline-mistakes/
child disregards rules,1,What to Do If a Child Won't Respond to Rules or Consequences | Psychology Today,6,15.87351894,https://www.psychologytoday.com/us/blog/all-grown/201808/what-do-if-child-wont-respond-rules-or-consequences
child disregards rules,2,7 Discipline Mistakes All Parents Make,182,15.51159382,https://www.parents.com/parenting/better-parenting/discipline-mistakes/
child disregards rules,3,Growing Independence: Tips for Parents of Young Children,113,13.76713943,https://healthychildren.org/English/ages-stages/preschool/Pages/Growing-Independence-Tips-for-Parents-of-Young-Children.aspx
child not falling asleep in own bed,1,When my ‘good sleeper’ suddenly couldn’t fall asleep—I was the answer,165,15.89504051,https://www.mother.ly/parenting/when-my-good-sleeper-suddenly-couldnt-fall-asleepi-was-the-answer/
child not falling asleep in own bed,2,How to Sleep Train Toddlers and Big Kids,188,15.76016235,https://www.parents.com/toddlers-preschoolers/sleep/issues/how-to-sleep-train-toddlers-and-big-kids/
child not falling asleep in own bed,3,The Age-by-Age Guide to Better Bedtimes,191,15.73114681,https://www.parents.com/toddlers-preschoolers/sleep/schedule/how-to-have-happier-bedtimes-and-better-sleep/
bedwetting in school age children,1,Bedwetting: 3 Common Reasons & What Families Can Do,74,12.90794277,https://www.healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/Bedwetting.aspx
bedwetting in school age children,2,How To Stop Bedwetting: 8 Solutions for Toddlers and Kids,186,12.90794277,https://www.parents.com/toddlers-preschoolers/sleep/bed-wetting/bedwetting-myths-put-to-rest/
bedwetting in school age children,3,Bedwetting: 3 Common Reasons & What Families Can Do,98,11.52235889,https://healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/Bedwetting.aspx
my child worries a lot,1,Children and Anxiety | Psychology Today,125,12.59813023,https://www.psychologytoday.com/us/basics/anxiety/children-and-anxiety
my child worries a lot,2,Anxiety Disorders in Children: Panic Disorder,90,12.55929279,https://www.webmd.com/children/guide/anxiety-disorders-in-children#091e9c5e80e5f208-1-3
my child worries a lot,3,Helping Kids When They Worry  (for Parents) - Nemours KidsHealth,53,10.29637909,https://kidshealth.org/en/parents/worrying.html#catfeelings
my child argues with me and screams,1,6 Reasons Why Yelling at Kids Doesn't Actually Work,18,13.53751659,https://www.parents.com/kids/development/behavioral/resolve-arguments/
my child argues with me and screams,2,How to Avoid Power Struggles With Your Child,19,13.08260441,https://www.parents.com/kids/discipline/tantrum/how-to-avoid-power-struggles-with-your-child/
my child argues with me and screams,3,10 Tips to Prevent Aggressive Toddler Behavior,70,12.10696888,https://www.healthychildren.org/English/ages-stages/toddler/Pages/Aggressive-Behavior.aspx
defiant argumentative behavior in child,1,The Disobedient Child,122,19.07227135,https://healthychildren.org/English/ages-stages/gradeschool/Pages/The-Disobedient-Child.aspx
defiant argumentative behavior in child,2,How to Avoid Power Struggles With Your Child,19,18.67241478,https://www.parents.com/kids/discipline/tantrum/how-to-avoid-power-struggles-with-your-child/
defiant argumentative behavior in child,3,The Disobedient Child,80,18.67241478,https://www.healthychildren.org/English/ages-stages/gradeschool/Pages/The-Disobedient-Child.aspx
potty training tips for toddlers,1,6 Solutions to Your Child's Biggest Potty Training Problems,27,13.59026814,https://www.parents.com/toddlers-preschoolers/potty-training/problems/solutions-to-your-childs-biggest-potty-training/
potty training tips for toddlers,2,Toddler Won't Sit on the Potty? Try This. - Motherly,149,13.05558681,https://www.mother.ly/toddler/toddler-milestones/potty-training-tips/
potty training tips for toddlers,3,I Learned Not Trying to Potty Train is the Best Way to Potty Train,22,11.97705269,https://www.parents.com/toddlers-preschoolers/potty-training/i-learned-not-trying-to-potty-train-is-the-best-way-to-potty-train/
handling toddler tantrums,1,How to Deal with Toddler Temper Tantrums,14,12.32158947,https://www.parents.com/toddlers-preschoolers/discipline/tantrum/a-parents-guide-to-temper-tantrums/
handling toddler tantrums,2,Temper Tantrums  (for Parents) - Nemours KidsHealth,48,11.43356037,https://kidshealth.org/en/parents/tantrums.html#catbehavior
handling toddler tantrums,3,How to Deal with Toddler Temper Tantrums,14,11.43356037,https://www.parents.com/toddlers-preschoolers/discipline/tantrum/a-parents-guide-to-temper-tantrums/
child is distracted and cannot focus,1,Why does my 4-year old have such a hard time focusing? Should I be concerned?,169,20.41964912,https://www.parents.com/toddlers-preschoolers/development/why-does-my-4-year-old-have-such-a-hard-time-focusing-should-i-be-concerned/
child is distracted and cannot focus,2,2 Things Not to Say to Kids With ADHD | Psychology Today,145,19.3018055,https://www.psychologytoday.com/us/blog/up-and-running/202212/2-things-its-best-not-to-say-to-children-with-adhd
child is distracted and cannot focus,3,Development Skills Every Toddler Should Have,170,17.54673386,https://www.parents.com/toddlers-preschoolers/development/toddler-development-skills/
destructive and aggressive behavior in child,1,Strategies and Solutions For Handling A Difficult Child,79,15.62414742,https://www.healthychildren.org/English/ages-stages/gradeschool/Pages/Strategies-and-Solutions-For-Handling-A-Difficult-Child.aspx
destructive and aggressive behavior in child,2,How to Manage Your Toddler's Destructive Habits,177,15.62414742,https://www.parents.com/toddlers-preschoolers/development/behavioral/how-to-manage-your-toddlers-destructive-habits/
destructive and aggressive behavior in child,3,Strategies and Solutions For Handling A Difficult Child,120,15.42843151,https://healthychildren.org/English/ages-stages/gradeschool/Pages/Strategies-and-Solutions-For-Handling-A-Difficult-Child.aspx