Query,Rank,Title,DocID,score,URL
fidgety child unable to sit still,1,How to Deal With the 'Terrible Twos',175,122.127739,https://www.parents.com/toddlers-preschoolers/development/behavioral/tackle-terrible-twos/
fidgety child unable to sit still,2,How to Manage Your Toddler's Destructive Habits,177,121.9199448,https://www.parents.com/toddlers-preschoolers/development/behavioral/how-to-manage-your-toddlers-destructive-habits/
fidgety child unable to sit still,3,Why does my 4-year old have such a hard time focusing? Should I be concerned?,169,115.3205795,https://www.parents.com/toddlers-preschoolers/development/why-does-my-4-year-old-have-such-a-hard-time-focusing-should-i-be-concerned/
child is forgetful in daily activities,1,Development Skills Every Toddler Should Have,170,101.9414597,https://www.parents.com/toddlers-preschoolers/development/toddler-development-skills/
child is forgetful in daily activities,2,Why does my 4-year old have such a hard time focusing? Should I be concerned?,169,98.31216431,https://www.parents.com/toddlers-preschoolers/development/why-does-my-4-year-old-have-such-a-hard-time-focusing-should-i-be-concerned/
child is forgetful in daily activities,3,Why isn't my 2 year old talking?,172,91.71292877,https://www.parents.com/toddlers-preschoolers/development/why-isnt-my-2-year-old-talking/
child disregards rules,1,14 Tips for How to Discipline Your Toddler,16,91.96409607,https://www.parents.com/toddlers-preschoolers/discipline/tips/7-tips-for-disciplining-your-toddler/
child disregards rules,2,7 Discipline Mistakes All Parents Make,182,77.6449585,https://www.parents.com/parenting/better-parenting/discipline-mistakes/
child disregards rules,3,What to Do If a Child Won't Respond to Rules or Consequences | Psychology Today,6,76.74385071,https://www.psychologytoday.com/us/blog/all-grown/201808/what-do-if-child-wont-respond-rules-or-consequences
child not falling asleep in own bed,1,Solutions for Kids' Sleep Problems,189,118.1353302,https://www.parents.com/toddlers-preschoolers/sleep/issues/solutions-for-kids-sleep-problems/
child not falling asleep in own bed,2,How to Sleep Train Toddlers and Big Kids,188,115.3611984,https://www.parents.com/toddlers-preschoolers/sleep/issues/how-to-sleep-train-toddlers-and-big-kids/
child not falling asleep in own bed,3,When Bad Dreams Strike,190,111.5538254,https://www.parents.com/toddlers-preschoolers/sleep/issues/child-awakens-bad-dreams/
bedwetting in school age children,1,Bedwetting: 3 Common Reasons & What Families Can Do,,76.49550629,https://healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/Bedwetting.aspx
bedwetting in school age children,2,How To Stop Bedwetting: 8 Solutions for Toddlers and Kids,186,76.49550629,https://www.parents.com/toddlers-preschoolers/sleep/bed-wetting/bedwetting-myths-put-to-rest/
bedwetting in school age children,3,Bedwetting: 3 Common Reasons & What Families Can Do,,72.12393188,https://www.healthychildren.org/English/ages-stages/toddler/toilet-training/Pages/Bedwetting.aspx
my child worries a lot,1,How to Manage Your Toddler's Destructive Habits,177,110.5801468,https://www.parents.com/toddlers-preschoolers/development/behavioral/how-to-manage-your-toddlers-destructive-habits/
my child worries a lot,2,School Anxiety in Children: Causes,192,107.0254974,https://www.parents.com/toddlers-preschoolers/starting-preschool/issues/school-anxiety/
my child worries a lot,3,Childhood Fears: What Kids Are Scared of -- and Why!,9,105.0342865,https://www.parents.com/baby/development/intellectual/what-kids-are-scared-of-and-why/
my child argues with me and screams,1,How to Deal with Toddler Temper Tantrums,14,85.86494446,https://www.parents.com/toddlers-preschoolers/discipline/tantrum/a-parents-guide-to-temper-tantrums/
my child argues with me and screams,2,6 Reasons Why Yelling at Kids Doesn't Actually Work,18,78.82499695,https://www.parents.com/kids/development/behavioral/resolve-arguments/
my child argues with me and screams,3,How to Deal with Toddler Temper Tantrums,14,78.82499695,https://www.parents.com/toddlers-preschoolers/discipline/tantrum/a-parents-guide-to-temper-tantrums/
defiant argumentative behavior in child,1,Oppositional Defiant Disorder in Children: What to Know,17,83.35746765,https://www.parents.com/kids/development/behavioral/i-thought-my-child-was-just-misbehaving-but-it-was-really-odd/
defiant argumentative behavior in child,2,14 Tips for How to Discipline Your Toddler,16,79.56999969,https://www.parents.com/toddlers-preschoolers/discipline/tips/7-tips-for-disciplining-your-toddler/
defiant argumentative behavior in child,3,7 Discipline Mistakes All Parents Make,182,79.06279755,https://www.parents.com/parenting/better-parenting/discipline-mistakes/
potty training tips for toddlers,1,6 Solutions to Your Child's Biggest Potty Training Problems,27,67.89073944,https://www.parents.com/toddlers-preschoolers/potty-training/problems/solutions-to-your-childs-biggest-potty-training/
potty training tips for toddlers,2,Toddler Won't Sit on the Potty? Try This. - Motherly,149,65.31481934,https://www.mother.ly/toddler/toddler-milestones/potty-training-tips/
potty training tips for toddlers,3,I Learned Not Trying to Potty Train is the Best Way to Potty Train,22,59.41938019,https://www.parents.com/toddlers-preschoolers/potty-training/i-learned-not-trying-to-potty-train-is-the-best-way-to-potty-train/
handling toddler tantrums,1,How to Deal with Toddler Temper Tantrums,14,76.04938507,https://www.parents.com/toddlers-preschoolers/discipline/tantrum/a-parents-guide-to-temper-tantrums/
handling toddler tantrums,2,14 Tips for How to Discipline Your Toddler,16,60.55929947,https://www.parents.com/toddlers-preschoolers/discipline/tips/7-tips-for-disciplining-your-toddler/
handling toddler tantrums,3,How to Deal with Toddler Temper Tantrums,14,60.55929947,https://www.parents.com/toddlers-preschoolers/discipline/tantrum/a-parents-guide-to-temper-tantrums/
child is distracted and cannot focus,1,Why does my 4-year old have such a hard time focusing? Should I be concerned?,169,107.9755707,https://www.parents.com/toddlers-preschoolers/development/why-does-my-4-year-old-have-such-a-hard-time-focusing-should-i-be-concerned/
child is distracted and cannot focus,2,How to Manage Your Toddler's Destructive Habits,177,102.9708176,https://www.parents.com/toddlers-preschoolers/development/behavioral/how-to-manage-your-toddlers-destructive-habits/
child is distracted and cannot focus,3,Why isn't my 2 year old talking?,172,79.36391449,https://www.parents.com/toddlers-preschoolers/development/why-isnt-my-2-year-old-talking/
destructive and aggressive behavior in child,1,Oppositional Defiant Disorder in Children: What to Know,17,77.33789825,https://www.parents.com/kids/development/behavioral/i-thought-my-child-was-just-misbehaving-but-it-was-really-odd/
destructive and aggressive behavior in child,2,14 Tips for How to Discipline Your Toddler,16,73.69709778,https://www.parents.com/toddlers-preschoolers/discipline/tips/7-tips-for-disciplining-your-toddler/
destructive and aggressive behavior in child,3,7 Discipline Mistakes All Parents Make,182,68.9851532,https://www.parents.com/parenting/better-parenting/discipline-mistakes/